id,city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,sorted_prices
bac1869ad9c2c1ef444b0ba6d225761a,1,3,77.71,3,3,3,1925,53.43301925,14.56977461,1.22,9,0.568,0.994,0.346,0.374,0.07,0.675,0.43,0,0,0,0,0,0,0,1,"[550000, 550000, 550000, 650000, 599000, 599000, 599000]"
fb10546822255a8bd8d52448ce0ae265,1,3,78.6,3,2,4,1929,53.4328328,14.5481871,1.35,75,0.149,0.239,0.074,0.342,0.093,0.492,0.089,0,0,1,0,0,0,0,1,"[440000, 440000, 440000, 440000, 440000, 440000, 440000]"
504193ed8e736e687f64d7ba05449972,1,3,100.0,3,4,4,1930,53.4364939,14.5720258,1.63,13,0.183,1.123,0.131,0.448,0.153,1.05,0.191,0,0,1,1,0,0,0,1,"[799000, 799000, 739000, 739000, 739000, 739000, 739000]"
bde946f27b37a2dc9219075cb954f929,1,2,96.06,4,3,3,2009,53.46560024,14.54153863,4.87,11,0.159,1.342,0.103,0.082,0.314,2.465,0.366,0,0,1,0,1,0,0,0,"[768000, 768000, 799000, 799000, 799000, 799000, 799000]"
c5c9f8850f6ed88e3009a8f251b4edce,1,3,42.57,2,1,1,1938,53.49568979,14.584651,8.19,4,1.572,1.236,0.02,0.28,0.033,3.693,0.033,0,0,1,1,0,0,0,1,"[389000, 389000, 379000, 379000, 379000, 379000, 379000]"
f77c9cb1826c25bc189289d03635fb37,1,3,82.95,4,3,4,1910,53.4361339,14.5412255,1.93,39,0.069,0.327,0.28,0.093,0.184,0.037,0.389,0,0,1,1,0,0,0,1,"[649000, 649000, 649000, 649000, 649000, 649000, 649000]"
b4024bae3e66c01955881dab66b1ac11,1,3,51.0,2,2,3,1950,53.4312995,14.5648979,0.92,16,0.277,0.774,0.029,0.059,0.173,0.305,0.658,0,0,0,1,0,0,0,1,"[497000, 469000, 469000, 469000, 449000, 449000, 449000]"
73741308978f8307cb4b9ad4d95fcc00,1,2,29.0,1,7,11,1981,53.44545,14.55238,2.52,15,0.247,0.493,0.418,0.458,0.141,1.242,0.022,1,1,0,0,0,1,0,1,"[279000, 279000, 279000, 279000, 279000, 279000, 289000]"
bea463ee71f6b7f314e3a315a6a74647,1,2,36.74,2,7,11,1980,53.41413627,14.54267979,1.59,4,0.476,0.952,0.704,0.08,0.068,0.97,0.19,1,1,1,0,1,1,0,1,"[350000, 350000, 350000, 350000, 399000, 399000, 399000]"
030752d63a69565baf9dd3a638779662,1,3,69.15,3,2,3,1922,53.4395,14.554,1.85,25,0.112,0.161,0.262,0.063,0.244,0.91,0.171,0,0,0,0,1,0,0,1,"[399000, 399000, 389000, 379000, 379000, 379000, 379000]"
