id,city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price,date
bac1869ad9c2c1ef444b0ba6d225761a,szczecin,tenement,77.71,3.0,3.0,3.0,1925.0,53.43301925,14.56977461,1.22,9.0,0.568,0.994,0.346,0.374,0.07,0.675,0.43,condominium,brick,low,no,no,no,no,yes,599000,2023-12-01
fb10546822255a8bd8d52448ce0ae265,szczecin,tenement,78.6,3.0,2.0,4.0,1929.0,53.4328328,14.5481871,1.35,75.0,0.149,0.239,0.074,0.342,0.093,0.492,0.089,condominium,brick,premium,no,no,no,no,yes,440000,2023-12-01
504193ed8e736e687f64d7ba05449972,szczecin,tenement,100.0,3.0,4.0,4.0,1930.0,53.4364939,14.5720258,1.63,13.0,0.183,1.123,0.131,0.448,0.153,1.05,0.191,condominium,brick,premium,yes,no,no,no,yes,739000,2023-12-01
bde946f27b37a2dc9219075cb954f929,szczecin,blockOfFlats,96.06,4.0,3.0,3.0,2009.0,53.46560024,14.54153863,4.87,11.0,0.159,1.342,0.103,0.082,0.314,2.465,0.366,condominium,brick,premium,no,yes,no,no,no,799000,2023-12-01
c5c9f8850f6ed88e3009a8f251b4edce,szczecin,tenement,42.57,2.0,1.0,1.0,1938.0,53.49568979,14.584651,8.19,4.0,1.572,1.236,0.02,0.28,0.033,3.693,0.033,condominium,brick,premium,yes,no,no,no,yes,379000,2023-12-01
f77c9cb1826c25bc189289d03635fb37,szczecin,tenement,82.95,4.0,3.0,4.0,1910.0,53.4361339,14.5412255,1.93,39.0,0.069,0.327,0.28,0.093,0.184,0.037,0.389,condominium,brick,premium,yes,no,no,no,yes,649000,2023-12-01
b4024bae3e66c01955881dab66b1ac11,szczecin,tenement,51.0,2.0,2.0,3.0,1950.0,53.4312995,14.5648979,0.92,16.0,0.277,0.774,0.029,0.059,0.173,0.305,0.658,condominium,brick,low,yes,no,no,no,yes,449000,2023-12-01
73741308978f8307cb4b9ad4d95fcc00,szczecin,blockOfFlats,29.0,1.0,7.0,11.0,1981.0,53.44545,14.55238,2.52,15.0,0.247,0.493,0.418,0.458,0.141,1.242,0.022,cooperative,concreteSlab,low,no,no,yes,no,yes,279000,2023-12-01
bea463ee71f6b7f314e3a315a6a74647,szczecin,blockOfFlats,36.74,2.0,7.0,11.0,1980.0,53.41413627,14.54267979,1.59,4.0,0.476,0.952,0.704,0.08,0.068,0.97,0.19,cooperative,concreteSlab,premium,no,yes,yes,no,yes,399000,2023-12-01
030752d63a69565baf9dd3a638779662,szczecin,tenement,69.15,3.0,2.0,3.0,1922.0,53.4395,14.554,1.85,25.0,0.112,0.161,0.262,0.063,0.244,0.91,0.171,condominium,brick,low,no,yes,no,no,yes,379000,2023-12-01
